date	euro	loonie	pound
1/2/19	0.8734	1.3629	0.7812
1/7/19	0.8738	1.3356	0.784
1/14/19	0.8722	1.3276	0.7772
1/21/19	0.8797	1.329	0.7769
2/1/19	0.8705	1.3152	0.7623
2/11/19	0.8843	1.3278	0.7752
2/25/19	0.8802	1.3131	0.7647
3/1/19	0.8759	1.3176	0.7519
3/11/19	0.8895	1.3416	0.7687
3/18/19	0.8806	1.3315	0.7537
3/25/19	0.8842	1.3424	0.7589
4/1/19	0.8901	1.3351	0.7639
4/8/19	0.8892	1.3365	0.7663
4/15/19	0.8839	1.3322	0.7626
4/22/19	0.8891	1.3371	0.7678
5/1/19	0.8917	1.3438	0.7689
5/6/19	0.8926	1.3469	0.763
5/13/19	0.89	1.3412	0.7694
5/20/19	0.896	1.3435	0.7847
5/28/19	0.8937	1.3468	0.7894
6/3/19	0.8968	1.3555	0.7954
6/10/19	0.8845	1.3269	0.7889
6/17/19	0.8914	1.341	0.7946
6/24/19	0.8775	1.318	0.7839
6/30/19	0.8787	1.3087	0.7878
7/8/19	0.8913	1.3065	0.7986
7/15/19	0.8867	1.3031	0.7968
7/22/19	0.8917	1.3069	0.8024
7/29/19	0.8996	1.3169	0.8126
8/1/19	0.8968	1.3148	0.8216
8/12/19	0.8933	1.3243	0.827
8/19/19	0.9011	1.3258	0.8258
8/26/19	0.8996	1.3296	0.8169
9/2/19	0.9061	1.3282	0.8206
9/9/19	0.9063	1.3156	0.8089
9/16/19	0.9057	1.3252	0.8034
9/23/19	0.9104	1.3289	0.8033
